model_0_0.ply,13:57:14:101
model_0_1.ply,13:57:14:090
model_0_2.ply,13:57:14:081
model_0_3.ply,13:57:14:086
model_1_0.ply,13:57:14:106
model_1_1.ply,13:57:14:123
model_1_2.ply,13:57:14:149
model_1_3.ply,13:57:14:119
model_2_0.ply,13:57:14:153
model_2_1.ply,13:57:14:190
model_2_2.ply,13:57:14:183
model_2_3.ply,13:57:14:186
model_3_0.ply,13:57:14:153
model_3_1.ply,13:57:14:223
model_3_2.ply,13:57:14:216
model_3_3.ply,13:57:14:219
model_4_0.ply,13:57:14:265
model_4_1.ply,13:57:14:290
model_4_2.ply,13:57:14:283
model_4_3.ply,13:57:14:285
model_5_0.ply,13:57:14:321
model_5_1.ply,13:57:14:323
model_5_2.ply,13:57:14:316
model_5_3.ply,13:57:14:318
model_6_0.ply,13:57:14:321
model_6_1.ply,13:57:14:390
model_6_2.ply,13:57:14:382
model_6_3.ply,13:57:14:385
model_7_0.ply,13:57:14:437
model_7_1.ply,13:57:14:423
model_7_2.ply,13:57:14:416
model_7_3.ply,13:57:14:418
model_8_0.ply,13:57:14:462
model_8_1.ply,13:57:14:490
model_8_2.ply,13:57:14:482
model_8_3.ply,13:57:14:486
model_9_0.ply,13:57:14:462
model_9_1.ply,13:57:14:523
model_9_2.ply,13:57:14:516
model_9_3.ply,13:57:14:518
model_10_0.ply,13:57:14:582
model_10_1.ply,13:57:14:557
model_10_2.ply,13:57:14:582
model_10_3.ply,13:57:14:586
model_11_0.ply,13:57:14:592
model_11_1.ply,13:57:14:624
model_11_2.ply,13:57:14:616
model_11_3.ply,13:57:14:619
model_12_0.ply,13:57:14:592
model_12_1.ply,13:57:14:657
model_12_2.ply,13:57:14:682
model_12_3.ply,13:57:14:652
model_13_0.ply,13:57:14:723
model_13_1.ply,13:57:14:723
model_13_2.ply,13:57:14:717
model_13_3.ply,13:57:14:719
model_14_0.ply,13:57:14:723
model_14_1.ply,13:57:14:757
model_14_2.ply,13:57:14:783
model_14_3.ply,13:57:14:753
model_15_0.ply,13:57:14:789
model_15_1.ply,13:57:14:823
model_15_2.ply,13:57:14:816
model_15_3.ply,13:57:14:819
model_16_0.ply,13:57:14:859
model_16_1.ply,13:57:14:857
model_16_2.ply,13:57:14:860
model_16_3.ply,13:57:14:853
model_17_0.ply,13:57:14:885
model_17_1.ply,13:57:14:923
model_17_2.ply,13:57:14:915
model_17_3.ply,13:57:14:918
model_18_0.ply,13:57:14:885
model_18_1.ply,13:57:14:957
model_18_2.ply,13:57:14:947
model_18_3.ply,13:57:14:952
model_19_0.ply,13:57:15:004
model_19_1.ply,13:57:15:023
model_19_2.ply,13:57:15:014
model_19_3.ply,13:57:15:018
model_20_0.ply,13:57:15:072
model_20_1.ply,13:57:15:057
model_20_2.ply,13:57:15:048
model_20_3.ply,13:57:15:052
model_21_0.ply,13:57:15:072
model_21_1.ply,13:57:15:123
model_21_2.ply,13:57:15:114
model_21_3.ply,13:57:15:119
model_22_0.ply,13:57:15:171
model_22_1.ply,13:57:15:157
model_22_2.ply,13:57:15:148
model_22_3.ply,13:57:15:152
model_23_0.ply,13:57:15:171
model_23_1.ply,13:57:15:190
model_23_2.ply,13:57:15:214
model_23_3.ply,13:57:15:219
model_24_0.ply,13:57:15:250
model_24_1.ply,13:57:15:257
model_24_2.ply,13:57:15:247
model_24_3.ply,13:57:15:252
model_25_0.ply,13:57:15:317
model_25_1.ply,13:57:15:290
model_25_2.ply,13:57:15:314
model_25_3.ply,13:57:15:318
model_26_0.ply,13:57:15:317
model_26_1.ply,13:57:15:357
model_26_2.ply,13:57:15:347
