model_0_0.ply,18:12:53:409
model_0_1.ply,18:12:53:414
model_0_2.ply,18:12:53:398
model_0_3.ply,18:12:53:414
model_1_0.ply,18:12:53:443
model_1_1.ply,18:12:53:446
model_1_2.ply,18:12:53:431
model_1_3.ply,18:12:53:448
model_2_0.ply,18:12:53:472
model_2_1.ply,18:12:53:480
model_2_2.ply,18:12:53:497
model_2_3.ply,18:12:53:482
model_3_0.ply,18:12:53:544
model_3_1.ply,18:12:53:546
model_3_2.ply,18:12:53:531
model_3_3.ply,18:12:53:549
model_4_0.ply,18:12:53:594
model_4_1.ply,18:12:53:581
model_4_2.ply,18:12:53:564
model_4_3.ply,18:12:53:582
model_5_0.ply,18:12:53:594
model_5_1.ply,18:12:53:614
model_5_2.ply,18:12:53:631
model_5_3.ply,18:12:53:614
model_6_0.ply,18:12:53:670
model_6_1.ply,18:12:53:680
model_6_2.ply,18:12:53:664
model_6_3.ply,18:12:53:682
model_7_0.ply,18:12:53:712
model_7_1.ply,18:12:53:713
model_7_2.ply,18:12:53:731
model_7_3.ply,18:12:53:714
model_8_0.ply,18:12:53:712
model_8_1.ply,18:12:53:746
model_8_2.ply,18:12:53:764
model_8_3.ply,18:12:53:748
model_9_0.ply,18:12:53:779
model_9_1.ply,18:12:53:814
model_9_2.ply,18:12:53:797
model_9_3.ply,18:12:53:814
model_10_0.ply,18:12:53:856
model_10_1.ply,18:12:53:847
model_10_2.ply,18:12:53:864
model_10_3.ply,18:12:53:849
model_11_0.ply,18:12:53:856
model_11_1.ply,18:12:53:881
model_11_2.ply,18:12:53:897
model_11_3.ply,18:12:53:882
model_12_0.ply,18:12:53:856
model_12_1.ply,18:12:53:946
model_12_2.ply,18:12:53:931
model_12_3.ply,18:12:53:949
model_13_0.ply,18:12:53:989
model_13_1.ply,18:12:53:980
model_13_2.ply,18:12:53:998
model_13_3.ply,18:12:53:982
model_14_0.ply,18:12:53:989
model_14_1.ply,18:12:54:046
model_14_2.ply,18:12:54:032
model_14_3.ply,18:12:54:015
model_15_0.ply,18:12:54:086
model_15_1.ply,18:12:54:080
model_15_2.ply,18:12:54:065
model_15_3.ply,18:12:54:082
model_16_0.ply,18:12:54:122
model_16_1.ply,18:12:54:114
model_16_2.ply,18:12:54:133
model_16_3.ply,18:12:54:114
model_17_0.ply,18:12:54:122
model_17_1.ply,18:12:54:181
model_17_2.ply,18:12:54:165
model_17_3.ply,18:12:54:181
model_18_0.ply,18:12:54:223
model_18_1.ply,18:12:54:213
model_18_2.ply,18:12:54:198
model_18_3.ply,18:12:54:214
model_19_0.ply,18:12:54:257
model_19_1.ply,18:12:54:247
model_19_2.ply,18:12:54:265
model_19_3.ply,18:12:54:249
model_20_0.ply,18:12:54:257
model_20_1.ply,18:12:54:313
model_20_2.ply,18:12:54:298
model_20_3.ply,18:12:54:314
model_21_0.ply,18:12:54:257
model_21_1.ply,18:12:54:347
model_21_2.ply,18:12:54:332
model_21_3.ply,18:12:54:348
model_22_0.ply,18:12:54:384
model_22_1.ply,18:12:54:380
model_22_2.ply,18:12:54:398
model_22_3.ply,18:12:54:382
model_23_0.ply,18:12:54:384
model_23_1.ply,18:12:54:447
model_23_2.ply,18:12:54:432
model_23_3.ply,18:12:54:450
model_24_0.ply,18:12:54:384
model_24_1.ply,18:12:54:480
model_24_2.ply,18:12:54:498
model_24_3.ply,18:12:54:482
model_25_0.ply,18:12:54:514
model_25_1.ply,18:12:54:514
model_25_2.ply,18:12:54:532
model_25_3.ply,18:12:54:515
model_26_0.ply,18:12:54:514
model_26_1.ply,18:12:54:580
model_26_2.ply,18:12:54:565
model_26_3.ply,18:12:54:582
model_27_0.ply,18:12:54:593
model_27_1.ply,18:12:54:614
model_27_2.ply,18:12:54:632
model_27_3.ply,18:12:54:614
model_28_0.ply,18:12:54:676
model_28_1.ply,18:12:54:647
model_28_2.ply,18:12:54:665
model_28_3.ply,18:12:54:648
model_29_0.ply,18:12:54:676
model_29_1.ply,18:12:54:713
model_29_2.ply,18:12:54:698
model_29_3.ply,18:12:54:714
model_30_0.ply,18:12:54:760
model_30_1.ply,18:12:54:747
model_30_2.ply,18:12:54:765
model_30_3.ply,18:12:54:749
model_31_0.ply,18:12:54:806
model_31_1.ply,18:12:54:813
model_31_2.ply,18:12:54:797
model_31_3.ply,18:12:54:782
model_32_0.ply,18:12:54:855
model_32_1.ply,18:12:54:846
model_32_2.ply,18:12:54:832
model_32_3.ply,18:12:54:849
model_33_0.ply,18:12:54:855
model_33_1.ply,18:12:54:880
model_33_2.ply,18:12:54:897
model_33_3.ply,18:12:54:882
model_34_0.ply,18:12:54:950
model_34_1.ply,18:12:54:948
model_34_2.ply,18:12:54:931
model_34_3.ply,18:12:54:948
model_35_0.ply,18:12:54:950
model_35_1.ply,18:12:54:980
model_35_2.ply,18:12:54:964
model_35_3.ply,18:12:54:981
model_36_0.ply,18:12:55:037
model_36_1.ply,18:12:55:013
model_36_2.ply,18:12:55:031
model_36_3.ply,18:12:55:014
model_37_0.ply,18:12:55:082
model_37_1.ply,18:12:55:080
model_37_2.ply,18:12:55:064
model_37_3.ply,18:12:55:082
model_38_0.ply,18:12:55:127
model_38_1.ply,18:12:55:113
model_38_2.ply,18:12:55:097
model_38_3.ply,18:12:55:115
model_39_0.ply,18:12:55:127
model_39_1.ply,18:12:55:146
model_39_2.ply,18:12:55:164
model_39_3.ply,18:12:55:148
model_40_0.ply,18:12:55:191
model_40_1.ply,18:12:55:213
model_40_2.ply,18:12:55:198
model_40_3.ply,18:12:55:215
model_41_0.ply,18:12:55:229
model_41_1.ply,18:12:55:246
model_41_2.ply,18:12:55:265
model_41_3.ply,18:12:55:249
model_42_0.ply,18:12:55:229
model_42_1.ply,18:12:55:280
model_42_2.ply,18:12:55:297
model_42_3.ply,18:12:55:282
model_43_0.ply,18:12:55:338
model_43_1.ply,18:12:55:346
model_43_2.ply,18:12:55:331
model_43_3.ply,18:12:55:349
model_44_0.ply,18:12:55:357
model_44_1.ply,18:12:55:381
model_44_2.ply,18:12:55:397
model_44_3.ply,18:12:55:382
model_45_0.ply,18:12:55:414
model_45_1.ply,18:12:55:446
model_45_2.ply,18:12:55:431
model_45_3.ply,18:12:55:415
model_46_0.ply,18:12:55:463
model_46_1.ply,18:12:55:480
model_46_2.ply,18:12:55:464
model_46_3.ply,18:12:55:482
model_47_0.ply,18:12:55:529
model_47_1.ply,18:12:55:513
model_47_2.ply,18:12:55:531
model_47_3.ply,18:12:55:515
model_48_0.ply,18:12:55:529
model_48_1.ply,18:12:55:580
model_48_2.ply,18:12:55:564
model_48_3.ply,18:12:55:548
model_49_0.ply,18:12:55:614
model_49_1.ply,18:12:55:613
model_49_2.ply,18:12:55:597
model_49_3.ply,18:12:55:615
model_50_0.ply,18:12:55:662
model_50_1.ply,18:12:55:646
model_50_2.ply,18:12:55:664
model_50_3.ply,18:12:55:648
model_51_0.ply,18:12:55:662
model_51_1.ply,18:12:55:713
model_51_2.ply,18:12:55:697
model_51_3.ply,18:12:55:714
model_52_0.ply,18:12:55:757
model_52_1.ply,18:12:55:746
model_52_2.ply,18:12:55:731
model_52_3.ply,18:12:55:749
model_53_0.ply,18:12:55:773
model_53_1.ply,18:12:55:780
model_53_2.ply,18:12:55:797
model_53_3.ply,18:12:55:782
model_54_0.ply,18:12:55:773
model_54_1.ply,18:12:55:847
model_54_2.ply,18:12:55:831
model_54_3.ply,18:12:55:849
model_55_0.ply,18:12:55:880
model_55_1.ply,18:12:55:880
model_55_2.ply,18:12:55:897
model_55_3.ply,18:12:55:882
model_56_0.ply,18:12:55:907
model_56_1.ply,18:12:55:913
model_56_2.ply,18:12:55:931
model_56_3.ply,18:12:55:914
model_57_0.ply,18:12:55:953
model_57_1.ply,18:12:55:980
model_57_2.ply,18:12:55:964
model_57_3.ply,18:12:55:982
model_58_0.ply,18:12:56:004
model_58_1.ply,18:12:56:013
model_58_2.ply,18:12:56:031
model_58_3.ply,18:12:56:015
model_59_0.ply,18:12:56:068
model_59_1.ply,18:12:56:046
model_59_2.ply,18:12:56:064
model_59_3.ply,18:12:56:049
model_60_0.ply,18:12:56:096
model_60_1.ply,18:12:56:113
model_60_2.ply,18:12:56:097
model_60_3.ply,18:12:56:115
model_61_0.ply,18:12:56:160
model_61_1.ply,18:12:56:146
model_61_2.ply,18:12:56:164
model_61_3.ply,18:12:56:149
model_62_0.ply,18:12:56:160
model_62_1.ply,18:12:56:180
model_62_2.ply,18:12:56:198
model_62_3.ply,18:12:56:182
model_63_0.ply,18:12:56:227
model_63_1.ply,18:12:56:246
model_63_2.ply,18:12:56:231
model_63_3.ply,18:12:56:249
model_64_0.ply,18:12:56:296
model_64_1.ply,18:12:56:280
model_64_2.ply,18:12:56:298
model_64_3.ply,18:12:56:282
model_65_0.ply,18:12:56:296
model_65_1.ply,18:12:56:346
model_65_2.ply,18:12:56:332
model_65_3.ply,18:12:56:314
model_66_0.ply,18:12:56:351
model_66_1.ply,18:12:56:380
model_66_2.ply,18:12:56:365
model_66_3.ply,18:12:56:382
model_67_0.ply,18:12:56:351
model_67_1.ply,18:12:56:413
model_67_2.ply,18:12:56:432
model_67_3.ply,18:12:56:415
model_68_0.ply,18:12:56:484
model_68_1.ply,18:12:56:480
model_68_2.ply,18:12:56:465
model_68_3.ply,18:12:56:482
model_69_0.ply,18:12:56:489
model_69_1.ply,18:12:56:513
model_69_2.ply,18:12:56:498
model_69_3.ply,18:12:56:515
model_70_0.ply,18:12:56:555
model_70_1.ply,18:12:56:547
model_70_2.ply,18:12:56:564
model_70_3.ply,18:12:56:549
model_71_0.ply,18:12:56:593
model_71_1.ply,18:12:56:614
model_71_2.ply,18:12:56:598
model_71_3.ply,18:12:56:614
model_72_0.ply,18:12:56:632
model_72_1.ply,18:12:56:647
model_72_2.ply,18:12:56:632
model_72_3.ply,18:12:56:648
model_73_0.ply,18:12:56:632
model_73_1.ply,18:12:56:681
model_73_2.ply,18:12:56:699
model_73_3.ply,18:12:56:683
model_74_0.ply,18:12:56:720
model_74_1.ply,18:12:56:746
model_74_2.ply,18:12:56:732
model_74_3.ply,18:12:56:748
model_75_0.ply,18:12:56:720
model_75_1.ply,18:12:56:780
model_75_2.ply,18:12:56:798
model_75_3.ply,18:12:56:782
model_76_0.ply,18:12:56:809
model_76_1.ply,18:12:56:813
model_76_2.ply,18:12:56:831
model_76_3.ply,18:12:56:815
model_77_0.ply,18:12:56:861
model_77_1.ply,18:12:56:880
model_77_2.ply,18:12:56:865
model_77_3.ply,18:12:56:881
model_78_0.ply,18:12:56:861
model_78_1.ply,18:12:56:913
model_78_2.ply,18:12:56:932
model_78_3.ply,18:12:56:914
model_79_0.ply,18:12:56:963
model_79_1.ply,18:12:56:946
model_79_2.ply,18:12:56:964
model_79_3.ply,18:12:56:949
model_80_0.ply,18:12:57:016
model_80_1.ply,18:12:57:013
model_80_2.ply,18:12:56:998
model_80_3.ply,18:12:57:015
